czy_stwierdzenie,tekst
1,"Rząd przekłada szczepienia dla mundurowych
https://t.co/zuypPw8ANJ"
0,"Skandal! Kto zapomniał o #amantadyna?! Nie potrzebujemy #szczepionki?! Dr Z. #Hałat 
@PioSzlachtowicz 

LINK DO PROGRAMU: https://t.co/Hsl2E1yTEy

Zapraszamy również na naszą stronę https://t.co/ckP6xA1HA7, na której nadajemy na żywo. https://t.co/byfBBTM3IA"
0,"@rraczkowska94 @MaciejGdynia poza seniorami decydującym kryterium szczepienia powinna być częstość kontaktów.
Jedna kasjerka w sklepie może zakazić wszystkich klientów. Woźny w szkole trudno zliczyć."
1,"Masowe szczepienia w tak krytycznym momencie mogą doprowadzić nie tylko do nikłej ochrony dzięki szczepionkom, ale co gorsza mogą przyczynić się do utraty naturalnej, wrodzonej odporności, kiedy przeciwciała powstałe dzięki szczepionkom pokonają przeciwciała naturalne..."
0,"@varshavskyseb Żona, ozdrowieniec mniej więcej po tylu godzinach od szczepienia AZ dostała wysokiej gorączki.(39,5) Trwała 2 dni.  Tak czy inaczej zdrowia.👍"
1,UWAGA! Niedzielski wstrzymuje szczepienia ozdrowieńców i wydłuża okres między dawkami szczepionki na Covid-19 https://t.co/DcIaCEJDvf
0,@PawelPrzybyl @AGozdyra Szczepienia grupy 0 nie mają tu nic do rzeczy. Chodzi o dostępność łóżek szpitalnych i personelu dla chorych na covid.
0,@a_niedzielski A jak tam szczepienia? Grupa 0 już zaszczepiona? 😂😂😂😂
0,@to_prim na starość ogarniam medycynę naturalną i znachorów🤔 nie mam ochoty na wożenie na szczepionki czy inne eksperymenty co wymyślą.Znam taką fajną babkę 87 co tak robi i rodzina w rozpaczy jak ją do szczepienia zmusić.  Moja idolka
0,"@basienka75 @berecikk @BrabBarbara Moze mi pani o tym OC opowiedzieć, bonoczywiscie pierdół paninopowiada. Nikt mi nie kazal żadnego przymusowego Oc na okolocznosx szczepienia wykupować."
0,@michaldworczyk a kiedy kolejne zapisy na szczepienia np. dla 70+
0,"Wie co mówi, kasa musi płynąć jak rwąca rzeka dopóki będzie trzeba! Na szczepienia marsz! 😜"
1,"@mc_mcck I to może być problem ...lądem , trzeba przekroczyć kilka granic gdzie mogą wymagać testu lub szczepienia ...drogą powietrzną bez testu lub szczepienia nie wsiądzie się na pokład samolotu."
0,Szczepienia w zamyśle twórców cyrku #zajob mają do tego właśnie doprowadzić.
0,"@JemielniakD @Michal_Bilewicz Bez wnikania kto ma większy efekt lewarowy, profesor, kasjer w supermarkecie, czy pracownik elektrociepłowni, to jest chyba bez znaczenia, bo profesorowie mają pracować dopiero od września więc te szczepienia w najlepszym razie nie były najlepiej czasowo zaplanowane."
1,"@PBasiukiewicz Oni chcą wyszczpoc wszystkich, następnie szczepić co 6 miesięcy.
Szczepienia będą obowiązkowe dla ID2020, czyli pieniądza opartego o krypto walutę CBDC.
Bez szczepień nie będzie możliwe życie."
0,"@JMiziolek Pojawia się pytanie kto i dlaczego przesunął termin szczepienia osób chorych i po przeszczepach, po terminie dla nauczycieli?"
0,@angeliquedeberg @KiraCzarczynska @Bis1Tsoda Która szczepionka wgrywa linuksa?
0,"https://t.co/pRSi6GGEgz

#plandemia #zajob #COVID19 #COVID #SzczepimySię #szczepionka #szczepionki #NWO #PiS #lockdown"
0,"@gladysz88 @lysy0685 @marek_kornecki @lili_pom112 A co im było skoro po paru dniach byli w formie ??? 
Czym to niby ich 
leczono skoro JEDYNYM SKUTECZNYM środkiem jest szczepionka ??? 

Nie widzisz tych kłamstw i tego że ta wersja o pandemii kupy się nie trzyma ???
Widzę że NIC nie jest w stanie otworzyć ci oczu ... )))
Bywaj .."
0,"@DoliwaGorska Słuchałem dzisiaj serwisów informacyjnych w lokalnym radiu i informacje były dość neutralne: osoby w tym i tym wieku, x dni po przyjęciu szczepionki Sinovac zmarły, potem komentarz eksperta „trzeba wyjaśnić, podać wszystkie  info do wiadomości”."
0,@PKontrowersje @MZ_GOV_PL @a_niedzielski @michaldworczyk @MorawieckiM https://t.co/7Sj7b0LVoF
0,@kimo_human03 To chyba będzie zależeć jaką szczepionką.
0,#astrazeneca #szczepionka #szczepimysie #narodowyprogramszczepien #pfizer - same pysznosci w skladzie nic tylko sie szczepic hahahaha niezlym kretynem trzeba byc zeby sobie to dac zapodac prosto do krwiobiegu #wtylewizji #wypierdalac #policja #strajkkobiet https://t.co/Mcxj58RZEf
0,"Pytanie być albo nie być Sputnik i chińska szczepionka dopuszczone na rynek UE czy nie jakie są wasze zdania
#SzczepimySię"
0,@gladysz88 @Tytus57259464 @marek_kornecki @lili_pom112 Ty Einstein to wytłumacz nam proszę dlaczego nikt z rządzących z @AndrzejDuda na czele nie zaszczepił się super szczepionką a taka pandemia szaleję? 🤪
1,Brazylia: szczepionka Sinovacu skuteczna przeciw brazylijskiemu wariantowi koronawirusa https://t.co/gEC94lreFg
0,@maritosa1 @KatarzynaEdyta @Anakreontyk Moze jest pozytywna bo zaszczepiona!!?!
1,@skorzynski A zaszczepiona jest około połowa lekarzy.
1,Szczepionka nie uratuje tych świąt. Dlaczego zaszczepieni nie powinni spotykać się z rodzinami?: https://t.co/h2GmldgvdS
0,Izrael testuje jak zadziałała szczepionka na koronowirusa jak nie będzie zachorowań to premier Nataniahu wygra po raz kolejny wybory
1,@PBeatap Szczepionka nie działa albo zakaża organizm zaszczepiony.
0,https://t.co/ZB8HLJv5Pr
0,Mam jutro szczepienie i mega się boje. Bo ja mam szczepienie tą najgorszą szczepionką. A moja mama na mnie krzyczy i mnie wgl nie wspiera. Bo ona się zaszczepiła Pfizerem który ma dobry skład. I wyzywa się na mnie i krzyczy. A ja się boje bo to Astra to skład ma 🙃🙃🙃🙃
1,@KarolRosenthal @WolneCentrum W trakcie opracowywania szczepionki AZ wykorzystano komórki z linii HEK293 nie MRC-5 (te były użyte przy jednym badaniu - za pewne stąd nieporozumienie) Poza tym finalna szczepionka jest z tych komórek oczyszczana https://t.co/34wL40uxOZ
1,"@jkarolak92 @aaa76766 @katarynaaa Ozdrowieńcy i zaszczepieni mogą nadal sami się zakażać i zakażać innych. Szczepionka nie chroni przed reinfekcją, tylko przed ciężkim przebiegiem choroby."
0,Szczepionka-relacja nauczycielki
0,"Sinovac, chińska szczepionka"
0,"Czyli, jak wszędzie. Niezależnie od producenta. Imponująca zgodność. #szczepionka"
1,"@kadras1975 @p_zuchowski Może. Szczepionka uodparnia organizm, a nie zapobiega infekcji. Zainfekowany organizm mimo przeciwciał może zakażać"
0,"warto dodać, że żaden 65-latek nie będący lekarzem (albo celebrytą) w PL nie dostał jeszcze pełnych 2. dawek szczepionki. nawet nauczyciele do II dawki ma jeszcze kawał czasu, a grupy 65-69 w ogóle nie zaczęliśmy szczepić;&gt;
więc szczepienia działają wstecznie o circa 5 m-cy o_O"
1,"@wielkrop2017 Seniorzy nie mogą zapisać się na szczepienia, ci zapisani nie są szczepieni. Podobno Giżyński zapisał się prewencyjnie na trzecią dawkę dla vipów za pół roku..."
1,Wykonaliśmy już ponad 4 mln szczepień obiema dawkami. Dziękujemy wszystkim medykom i osobom odpowiedzialnym za realizację Narodowego Programu Szczepień. #SzczepimySię. https://t.co/fGU9zeeZWY
0,"„szczepienia nauczycieli akademickich przed wieloma innymi grupami zawodowymi nie są czymś nagannym [...] to rodzaj nagrody za społecznie zajmowaną pozycję, która wg prof. Rycharda jest społecznie akceptowalna, a w korzystaniu z niej nie ma niczego złego.” 😳😳😳"
0,@citymiasto no takie dostala wytyczne na kartce z potwierdzeniem szczepienia:/
1,"@kura_domowa_z @agnieszkawolsk9 @a_niedzielski @MZ_GOV_PL @michaldworczyk https://t.co/ZVUNTjexUE w celu zapewnienia, że obywatele są informowani, że szczepienia NIE są obowiązkowe i że nikt nie znajduje się pod presją polityczną, społeczną lub inną, aby się zaszczepić, jeśli nie chce tego robić osobiście;"
0,Panowie ministrowie jak rozumiem dalej konsekwentnie nie spiesza się do szczepienia? @michaldworczyk  ostatni chętny?
0,"@michaldworczyk Panie Dworczyk, ja nie dziękuję za to, że od 22 stycznia bezskutecznie usiłuję uzyskać jakikolwiek konkretny termin szczepienia jako senior 70+"
0,"Jak byście chcieli przykładu, jak niektórzy przedstawiciele ""elity"" pomagają zachować władzę PiS-owi  - to poczytajcie prof. Rycharda. 
🤦🤦🙄😬
https://t.co/rTjSCJt2zy"
0,@NFZ_Centrala @a_niedzielski @MZ_GOV_PL A jebnijcie się w łeb... To po co te szczepienia medyków były?!
1,"Personel szpitali i domów opieki we Francji nie chce się szczepić. Rzecznik rządu nie wyklucza decyzji o obowiązku szczepienia dla tych grup, bo ""byłoby nieodpowiedzialne się nie zaszczepić"": 
https://t.co/BMChrrC3rO"
0,"@_zboral Teoretycznie w sytuacji totalnego kryzysu zdrowotnego, mogą chyba być skierowani do leczenia ludzi, ale nie wiem czy to jest powodem ich szczepienia"
1,"@WiadomosciTVP Bardzo skuteczna.
Wróciliśmy do ilości nowych przypadków z listopada tamtego roku, szczepienia leżą (90 latkowie dalej czekają na pierwszą dawkę).
Ale Dworczyk jest dumny, a Adrian poszusował.
Można ogłosić sukces."
0,To na cholerę były te szczepienia?!
0,"@Bis1Tsoda prawdopodobnie gdzieś, kiedyś, może być - ale teraz i przez ostatni rok nigdzie nie było;)
nie, to są przypadki osobnicze, raczej liczone w sztukach na cały świat. chociaż nie jestem pewna czy jak to się ewentualnie przekłada na 'niedokończone' szczepienia, które MZ zaraz wykona."
1,"Skoro mimo szczepienia lekarzy ministerstwo zaleca szpitalom ograniczenie planowych zabiegów, to ja się pytam po co to było? To jest całkowicie bez sensu i nie do obrony."
0,"@kimo_human03 1 dawka-ramionko bolało
2 dawka-wieczorem w dniu szczepienia (to był aktywny fizycznie dzień) trochę bolały mnie mięśnie, następnego dnia po zajęciach tez, temperatura 36,7*, ibuprom zadziałał idealnie i po 2 dniach było gicior całkowicie"
0,"WAŻNE!

W związku z rozwojem epidemii #koronawirus, na polecenie @a_niedzielski, ministra zdrowia @MZ_GOV_PL, @NFZ_Centrala zaleca ograniczenie do niezbędnego minimum lub czasowe zawieszenie udzielania świadczeń wykonywanych planowo. #COVID19

SZCZEGÓŁY ⤵️
https://t.co/9qGuP357R6"
0,"@Ewa37316565 Dobranoc🌹Dzień Kobiet to taki dzień dla mężczyzny, że nie wyrabia🤓przygotowałem kwiatuszki to mi Panie wysłali na szczepienia😫Aaaaaaaaa"
1,w pl szczepia dalej mimo 100 ofiar smiertelnych juz #szczepienia #wypierdalac #policja #zomo #wtylewizji #orlen https://t.co/5AxFhiRwJY
0,"@sprinterzycom @AlanRogalski To prawda - decyzje jazdy sam powinien podejmować , ale z drugiej strony rozumiem obawy po japońskiej stronie i tu bardziej chodzi o nowe przeszczepy już o COVID bo z badań wynika ze szczepionka owa nie działa na nowe przeszczepy"
0,@ArturooArtur Mojemu ojcu już przesunięto termin szczepienia. Na razie 2 dni niby...
0,"@PiotrGursztyn @Bozena64265610 @PirateKing39 Przecież prof. Rychard jasno wytłumaczył, że te szczepienia akademików, zamiast kasjerek w sklepach, należy rozumieć jako słusznie należny przywilej grupy stojącej wysoko w hierarchii społecznej."
1,"70+ nadal nie mogą się zapisać na szczepienia, po kilku miesiącach spektakularnej walki pisu mamy circa 10% zaszczepionych, NFZ już w marcu blokuje planowe zabiegi. Hura jak cholera.

https://t.co/MToEJAG605"
0,"@rraczkowska94 Niekoniecznie KK, sama narracja ZNP chociażby pozostawia wiele do życzenia. Koleżanka, nauczycielka w liceum, wydawało się inteligentna, pisze że szczepionka nie chroni przed chorobą i bardziej boi się NOP niż covida."
1,"Coraz głośniej o zgonach po #szczepionka #AstraZeneca Nie łudźmy się, #Pfizer i inne eksperymentalne #szczepionki to takie samo gówno! Do ilu zgonów musi jeszcze dojść, aby rządzący się cofnęli albo ludzie powstali?

#zajob #Plandemia #COVID19 #SzczepimySię #lockdown #PiS #NWO"
0,"Mamy to! Part 1
Tematyczna koszulka musi być 😉
#szczepimysie #szczepionka #AstraZeneka #COVID19 #Doctor https://t.co/fvPSKpwW1I"
0,"@wwrsj @Cezamiro O ile pamiętam, to byłem raz szczepiony przeciw polio czy na inne w dzieciństwie 🤔 Jeśli dobrze pójdzie to jako akademik będę szczepiony w czwartek (akcja nie na Jandę), dam sygnał o powikłaniach. Dla mnie szczepionka oznacza czas na opracowanie leku, by ludzie nie umierali."
1,"@marzena_leto @sprinterzycom Ale nie ma co porównywać szczepionki przeciw grypie z tą, bo to jest całkowicie inna szczepionka."
0,"Słyszę, że Duda podpisuje ustawy o 13,14 emeryturze. Wiem, że emerytury w Polsce są niskie, ale czy to dobry czas żeby w taki sposób wydawać pieniądze? Naprawdę, nie lepiej inwestować we wszystkich? Wspomóc służbę zdrowia, wspomóc biznes, badania nad własną szczepionką?"
0,2137 szczepionka
1,"@KWojczal Wszystko zależy od tego, na co będą mieli przeciwciała, na przykład najpopularniejsza szczepionka wymusza tworzenie przeciwciał na białka z kolców wirusa (spike) każda osoba może mieć nieco inne przeciwciała (problem diagnostyczny), jeżeli biała będą w danej mutacji inne, to bida"
1,@KWojczal Ciekawi mnie jak szczepionka wpłynie na ewentualną zachorowalność. Jak już chorować to proponuje na COVID-19 podlaski jest bardzo zbliżony do pierwotnej mutacji chińskiej odmiany.
1,"@Bartek83861062 @MarekSzolc Med student wie dużo rzeczy a określenie „badania profilaktyczne” jest nieprecyzyjne, bo dotyczy ogromnej ilości badań.
Med student też wie, że najlepszą walką z rakiem szyjki macicy są szczepienia profilaktyczne przeciw HPV a nasze Państwo nie potrafi zapewnić nawet płatnych. :)"
0,"Co się dzieje po strzale z Astry Zenka.

Nauczycielka z Gdańska, która przeżyła strzał.
#szczepimysie #szczepionka #AstraZeneka #COVID19 
https://t.co/GNAnbxm2zs https://t.co/GeNaZxZMft"
0,@8x12x2 Szczepionką cz astrazeneki
1,"Zaszczepiona szczepionką #AstraZeneca nauczycielka z Gdańska, którą dotknął poważny #NOP, nie miała świadomości, że #szczepionka została dopuszczona do użytku warunkowo. #COVID19 https://t.co/rjkjbKW572"
1,"Ponad 3,9 mln szczepień przeciw COVID-19.
https://t.co/peoCfxFsDO
#szczepienia #szczepionka #szczepionki #COVID19 #koronawirus #KoronawirusWPolsce"
0,@RobertKwit5 @johnsmiths74 Szczepionka zneutralizowała zagrożenie 😂😂😂
1,"@Janina47195681 @PopieramyPMM To amerykańska szczepionka ""Novavax"". W Polsce będzie tylko produkowana z komponentów producentów amerykańskich, czyli będzie u  nas tylko rozlewana.😁"
0,"@szczepimysie A ile osób wasza ""szczepionka"" zabiła?"
1,"@sprinterzycom @AlanRogalski A czy szczepionka przeciw grypie lub inne tam chroni przed zarażeniem ? Nie - zatem już  Pan ma odpowiedz - żadne szczepienie nie chroni , powoduje tylko łagodny przebieg choroby ale tez nie u każdego - organizm każdy ma inny"
1,"Tłumienie wrodzonej odporności (przez DDM) może być problematyczne zwłaszcza u młodych. Dodatkowym czynnikiem narażającym ich na zwiększoną zachorowalność i śmiertelność mogą być masowe szczepienia starszych - ci będą chronieni, więc wirus częściej będzie atakował młodych...."
0,"Mam termin szczepienia na 10 marca! Ale szkoła to nie tylko nauczyciele! To panie w sekretariacie narażone jak żaden z nauczycieli, bo ciągle ktoś tam wchodzi, to woźne, woźni, to panie z administracji! Proszę podawajcie! Oni też muszą żyć! Nie ma szkoły bez nich również! Podaj!"
0,"@m_uciechowska Kodeks Norymberski
Kodeks Norymberski a szczepienia – świadoma i dobrowolna zgoda
https://t.co/7zeIKzIjaO"
1,@SwinkaTata @a_niedzielski @MZ_GOV_PL Tu by określić skuteczność szczepienia trzeba wejść w immunologię. U seniorów sero-konwersja z racji wieku jest słabsza. Tutaj clou stanowi bardziej strategia kokonu. A te szczepienia to są na papierze komputerze. Cyrk ze szczepionkami i szczepieniami to już inna bajka.
0,#szczepienia #szczepionki #koronawirus #Covid19
1,"@rraczkowska94 Coraz częściej tak się zdarza. Na Podkarpaciu tylko 30% nauczycieli zapisało się do szczepienia, a potem jeszcze nie przychodzą. Do pracy w normalnym trybie też im nie spieszno aby wrócić. Ręce opadają..."
1,"@ankapodlasianka @SedesZBakelitu Ale ""odkrywają"" Amerykę, żadna szczepionka nigdy nie chroniła, nie chroni i nie będzie chronić -bo to nie jest działanie szczepionki- przez zarażeniem się i zarażeniem innych jeśli się jest zarażonym. Działaniem szczepionki jest immunizacja."
1,"https://t.co/n2iRYldQzR

36-latka. Przeżyła rok tej straszliwej ""pandemii"" I nagle, akurat zaraz po #szczepionka zmarła. Nie wierzę w takie przypadki!

#zajob #Plandemia #COVID19 #COVID #Pfizer #AstraZeneka #SzczepimySię #NWO #lockdown"
0,"@Dagahar Brak! Rzeczywiście. Wiadomo dlaczego? Jak nie chcieli, czemu nie oddali szczepienia pracownikom obsługi?"
0,"@MetalowaMasakra @mikolaj_kam @PBasiukiewicz Czy ktos gdzies napisał, że maseczki wyeliminują covid? Nie, nie zrobią tego. Tak samo lockdowny i inne obostrzenia. Zrobią to szczepienia i przechorowania"
0,"Dlaczego mamy mniejsze dostawy szczepionek z Pfizera? O tym i kilku innych sprawach jutro o 8.00 w @OnetRano @onetpl w rozmowie z @sekielski 
Zapraszam! https://t.co/siT0R3vl9k"
0,@NFZ_Centrala @a_niedzielski @MZ_GOV_PL Zaplanowane szczepienia na covid też zawieszone?
0,"@PiotrGrze To chyba zależy już od organizacji. Dam przykład ze swojego podwórka. Były uczelnie, które zorganizowały szczepienia dla swoich pracowników podając im 2, 3 terminy i inne rozsyłając ogólnopolską ofertę. I wtedy się zaczęło..."
0,ludzie złoci szybciej te szczepienia bo chce już szczepić się żeby móc nwm chodzić do kawiarni pojechać do Kazimierza do Krakowa???? Chodzić po antykwariatach i plich targach 😩
0,"@PiotrGrze Myślę, że te szczepienia naucz.akad. załatwił ""przy okazji"" szczepienia nauczycieli ( bdb pomysł-jest nadzieja, że dzieci wrócą do szkoły) wspólny od niedawna minister. Osoby powyżej 80r już chyba powinni mieć termin🤔"
0,"@rraczkowska94 Szkoła średnia w mieście 50 tys. Do szczepienia zapisało się połowe kadry, z czego połowa z tej połowy nie stawiła się na szczepienie. Brak słów..."
0,"@PiotrGrze Też się zgadzam, chociaż sama się zaszczepiłam. Zwłaszcza, że kiedy rozpoczynano szczepienia już było wiadomo, że do września studenci nie powrócą na uczelnię."
0,@EwaLTylkoPytam Może lepiej zawiesić szczepienia ? https://t.co/xP8fKSuubv
0,https://t.co/TJCMO8zvAr
0,@AC_Sobol Może myśli ze viagra to szczepionka na #COVID19 ?
0,"@szescstopni @K_Paczkowski @marcinnaps Samemu Krzysiowi to wiele nie pomoże. Jeśli chodzi o ludzi to tylko czujność i zdrowa dawka paranoi po powrocie do domu. Bo borekeioze się łapie albo z braku doświadczenia, albo z rutyny. Gorzej z mózgiem, jest szczepionka, ale droga ☹️"
1,"Szefowa Komisji Europejskiej @vonderleyen przekonuje w wywiadzie dla niemieckiego dziennika „Stuttgarter Nachrichten”, że od kwietnia dostawy szczepionek w #UE „podwoją się” do 100 milionów miesięcznie.

#szczepionka #koronawirus

https://t.co/IUmHAHMFKa"
1,"@PBasiukiewicz Błąd może polegać na tym, że ocena punktów końcowych odbywa się co najmniej 14-21 dni po podaniu pierwszej dawki; niby z uwagi na fakt, że dopiero wówczas szczepionka zaczyna działać! Problem, że uciekać mogą wczesne zgony poszczepienne z analizy."
1,"Badanie w Brazylii sugeruje, że szczepionka AstraZeneca jest skuteczna przeciwko brazylijskiemu wariantowi COVID-19. I to jest NEWS!!!"
1,"Pojawiły się też wątpliwości dotyczące szczepień. Badania przeprowadzone we Włoszech wykazały, że przy dużej nadwadze szczepionka nie działa tak, jak powinna. W przypadku tych pacjentów dwie dawki szczepionki mogą nie wystarczyć. 
https://t.co/9MQ6Y0qlAZ"
1,"Te K...y nas wykończa
@michaldworczyk @a_niedzielski @MorawieckiM dalej będziecie się chwalić, że NOPow nie ma, że szczepionka w 100 % bezpieczna.

Ludzie nawet nie wiedzą, że szczepionki są w fazie testu, bo lekarzyny ich nie informują - KURWA MAĆ!  🤬
https://t.co/MVY16Lj0Zv"
0,@ankapodlasianka Te eksperty są pierdolnięte. Po co ta szczepionka jak nic nie chroni. Co za debile. Będą bronić tej pandemi do końca bo jeszcze mało zarobili na ludzkim nieszczęściu.
0,@Oaza_spokoju2 Nauka i szczepionka jest kobietą👏👏👏👏👏
0,@pawelpiecha1060 @CierpialJarek Szczepionka która nie jest na corone.
1,"@Ako96658836 @WolneCentrum Bo to nie jest szczepionka, tylko preparat mRNA. Ile razy mam to pisać?"
1,@tvp_info @ArjunaMirek322 Mamy nowe koronawirusy i szczepionka może nie działać na nowe mutacje. Układ odpornościowy może nie rozpoznawać nowych wariantów. Temat omawia mój 104 list do Prezydenta - Sprawiedliwie ukarać szczepionkowych foliarzy. Listów szukaj tu: https://t.co/XXPhDemAGf https://t.co/x1ellLOEu3
1,"@sprinterzycom Szczepionka co do zasady nie chroni przed chorobą, a tylko i aż przed ciężkim jej przebiegiem. Pomijając, że skuteczność każdej z tych szczepionek nie jest stuprocentowa."
0,@ankapodlasianka Bo on tu ma rację szczepionka albo przyspieszy zachorowanie albo zabije
