etykieta,tekst
13,"@PatrykWachowiec U nas nawet taka platforma jest niepotrzebna my dosłownie mamy listę chętnych bo się zapisali styczeń-marzec - z niej można rekrutować ludzi wysyłając tylko sms-a z automatu z pytaniem: 'jest szczepionka za 1h minut tu i tu, odpisz '""TAK'"" w ciagu 10 minut żeby zarezerwować'""."""
11,"Feligen, jedyna szczepionka weterynaryjna przebadana z 44 pobranych próbek, okazała się jedyną próbką wolną od zanieczyszczeń nieorganicznych."
5,"@AgaSzczu5 @apielak77 @Wojtekfancalcio @MagdaDlugosh @MamkozackiNick Ale mi logicznie wytłumaczono,ludzie na chemi mają zmniejszoną odporność i szczepionka nie wytwarza przeciwciał że względu na chemię,to nie ja sobie to wymyśliłem."
11,"@Margherita_PPP @PBeatap Ta szczepionka Pfizera właśnie ma to zadanie do spełnienia, żeby po zaszczepieniu, w przypadku zetknięcia się z retrowirusem pacjent od razu zmarł. To koń trojański, który blokuje walkę organizmu z wirusem, tylko działa przeciwko sobie."
11,"""@OperatorpUga Dokładnie tak. No ile razy można to tłumaczyć, po co powstała ta pandemia i '""szczepionka'""?! 
Przyczynia się covid i szczepienie albo tylko covid albo tylko szczepienie. W końcowym rozrachunku ma być jak najwięcej zgonów i osób dotkniętych skutkami ubocznymi przyjętej substancji."""
3,"wiadomo, ze barany pisowskie nie znaja jezyka to przetlumacze - 'nie wiemy na ile szczepionka chroni przd zlapaniem i przejsciem choroby covid wiec noscie maski zachwoujcie dystans i myjcie rece'"" i chuj wam w dupe generalnie hahahahhahahah  #szczepimysie #polska #pis #krawczyk https://t.co/rnw7G1r00F"""
3,@HenczelSzymon @K_Stanowski Szczepionka nie chroni przed zachorowaniem tylko przed ciężkim przebiegiem.
11,"Ludzie, którzy nie są w stanie pojąć, że badania nad szczepionka są prowadzone od około 20 lat i że możliwe jest przewidzieć wybuch takiej epidemii jak 👑 https://t.co/c6yfcyhsYF"
11,Zabili kobietę szczepionką!!!
11,"Twórca Sputnika V: nasza szczepionka mniej skuteczna na wariant z RPA, ale lepsza od innych https://t.co/t5hSGwPhMm"
11,"""Ważne!
Dramatyczna relacja Matki zmarłej nauczycielki, po szczypawce!
https://t.co/cTwZTnFKQt"""
2,"Wg EMA: istnieje związek epidemiologiczny między szczepionką AstraZeneca i skrajnie rzadkimi przypadkami zakrzepicy, nie jest znany mechanizm ani czynniki ryzyka. Dalsze badania w toku. Nie należy wstrzymywać szczepień.  Konieczne ustalenie w Polsce zasad szczepień u osób &lt;60 lat"
11,"""@LadyM30_ Szczepionka powoduje uodpornienie organizmu a w rezultacie szybkie zniszczenie wirusa który dostał się do organizmu. 
Zmniejsza to radykalnie możliwość przenoszenie wirusa dalej.
Stąd ten spadek zachorowań w w/w krajach.
Czemu miałaby służyć manipulacja (w dół) danymi?"""
11,@Krzychu74706173 U nas to Niedzielski zapobiega hospitalizacji a nie szczepionka.
11,"⁦@michaldworczyk⁩ nie chcę pana dobijać, ale wskazywanie, że jest to szczepionka bezpieczna dla wszystkich,  jest mijaniem się z prawdą.  https://t.co/ufgHB2DyXe"
11,"@tomaszsz @Wanda_1920 @etermed @marian_konarski Tylko że ta szczepionka jest całkiem inna od tych wszystkich w przeszłości. Dowiedz się najpierw troche,adopiero zabieraj głos"
11,"""@MBalawelder Ojciec Leon Knabit już się zaszczepił. Benedyktyn nie boi się, że za szczepionką stoi szatan
https://t.co/b6PABGFXoq"""
3,"@JacekWilkPL @miner72pl @Pawel_Ajmek Szczepionka nie daje gwarancji odporności. To przecież bez znaczenia, bo to lekka choroba. To w czym problem? Po co leczyć, jeśli to lekka choroba? Robi Pan kurwę z logiki."
10,"Belgia będzie szczepić AstraZenecą tylko osoby powyżej 55 roku życia // En limitant le vaccin AstraZeneca aux plus de 55 ans, la Belgique réduit les risques… et les retards - Le Soir Plus https://t.co/h4WGuq7Gez"
11,Morawiecki: Szczepionka Astrazeneca jest bezpieczna.
11,".@PiotrMuller w #SygnałyDnia w @RadiowaJedynka: Rekomendacja EMA daje dalsze pole do tego, żeby AstraZeneca była używana - została zaktualizowana dokumentacja; szczepionka jest nadal bezpieczna."
1,"""Źródło: Puls Medycyny
https://t.co/tgD9fYNEa4

Szczepionka firmy AstraZeneca może być skuteczna przeciwko brazylijskiej mutacji SARS-CoV-2"""
6,"Laptopy dla aktywistów, szczepionka dla Hoł
3	@Lukasz_Lucianus @ArturStelmasiak @Karol40000487 @Arek_Jarosz Szczepionka nie leczy, a jedynie chroni przed chorobą. Jednak chroni dopiero po ponad 15 dniach od przyjęcia 2 dawki. Wcześniej w niewielkim stopniu.
11	@blu_serek to się za chwile zacznie...jedynie słuszne media będą głosić prawdy objawione. Mogę podejrzewać, że szczepionka została podana w okresie tzw.okna serologicznego o ile informacja medialna w ogóle jest od a do z prawdziwa🤔
11	@Tomi9929369418 @szczepimysie Chlopieee kto ci odpowie jak to szczepionka awaryjnie dopuszczona... kto mial ja testowac wczesniej? Szczury? Moze byc tak ze odpornosc bedzie na cale zycie albo wystarczy na rok moze dwa tyle gosciu
3	@agentwolnosci @XyzakZak @BlaszczykMm @KonradBerkowicz #jprdl prawie 70% dorosłej populacji ma przeciwciała (ponas 11 mln ludzi zaszczepionych co najmniej 1 dawką, prawie 3 mln ludzi przechorowało). Szczepionka chroni w 100% przed ciężkim przebiegiem i zgonem. Może poczytaj coś innego niż foliarskie bzdury?
10	""Szczepionka koncernu #AstraZeneca przeciw #Covid_19 jest rekomendowana i należy ją stosować w przypadku osób w wieku powyżej 55 lat – powiedział w piątek @EmmanuelMacron podczas wizyty w zakładach produkujących szczepionki #PfizerBioNTech w Eure-et-Loir."
"https://t.co/q9Gg0iYZ4q""""""",
2,"@PKontrowersje Stanowisko EMA zmienia się dynamicznie jak pisowskie obostrzenia i statystyki kowid tuż przed świętami chrześcijańskimi. Najpierw - brak związku między zakrzepami a szczepionką. Teraz - związek jest ale bardzo rzadki, nie ma obaw, można się szczepić. Co powiedzą później?"
11,"@PioSzlachtowicz Służby Zdrowia. Brak lekarzy na dyżurach, przekształcanie szpitali na covidowe, w których bardzo często leżą pacjenci zdrowi z podejrzeniem wirusa. Ministerstwo ślepo wierzy że jedyny ratunek dla pacjenta to terapia tlenową i szczepionka, przez to mamy tyle zgonów"
11,"@Marcin_K5 Był zaszczepiony i zmarł.. czyli teorie, że  „szczepionka chroni przed ciężkim przechorowaniem” można włożyć między bajki..."
11,"@pterL_ @K_Stanowski Właśnie wychodzi, że na kobiety ta szczepionka działa gorzej jak na facetów......ciekawe...."
11,"""@Adrian_i7 @bweglarczyk Szczepionka nie, twórca szczepionki gwarantuje w 96% -tach
https://t.co/7y4ezMZpxR"""
11,"""@JanGrabiec @PatrykSlowik Liczba dawek dla PSz jest ograniczona liczbą dostępnych w PL dawek. 

Punkty Szczepień miały w tym tygodniu możliwość zamówienia dodatkowych dawek szczepionki Pfizer. Została ona również uwolniona dla wszystkich osób poniżej 70 r.ż. Dostawy są realizowane zgodnie z zamówieniami."""
11,"@TomaszGryguc To nie Chiny wypuściły z labo SARS-CoV-2 (chociaż przy nim pracowały razem z Jankesami). To żołnierze USA zaszczepieni eksperymentalną 'szczepionką'"" przywlekli go do Wuhan w X.2019. Ten podpicowany koronawirus krążył w USA już latem 2019, najpierw w okolicach Fort Detrick..."""
11,"Przyjął 2 dawki śmiercionośnej cieczy zwanej przez pisowskich MORDERCÓW Polaków'szczepionką'"" Uwierzył Dudzie Morawieckiemu Niedzielskiemu......Eksperymentalna ciecz zabija!! Tylko to mają,poza mandatami karami MORDERCY Polaków z pisu... A Duda.....Żałosna postać.......***** PIS!"""
11,@_leoncello @kat_krzeszowska Osoby szczepione w ramach grupy 1b są szczepione preparatami Pfizer i Moderna. Osoby młodsze niż 70 lat mogą być obecnie szczepione dowolną szczepionką przypisaną do terminu.
1,"Coronawirus mutuje, bez sensu na każdą mutacje szukać szczepionki, i szczepić 3 razy!  trzeba znaleźć ten jeden czynnik ,który mutuje na różne mutacje, i wtedy jedna szczepionka będzie efektywna z przeciwciałami, i  podana jeden raz na wszystkie mutacje.💫"
11,"@pyrka_k Moderna, jak Pfizer, to szczepionka mRNA. Podobno ma wysoką skuteczność. Mi proponowali AstręZenecę, ale nie wiem, czy jednak nie zrezygnuję na rzecz Pfizera/Moderny. Jak czytam o potencjalnych powikłaniach, to trochę zaczynam się bać :("
3,"""Nie no, związek między szczepionką a zakrzepami jest, nie wiemy w sumie jaki, więc zostawimy szczepionki na rynku, zamiast wycofać i zbadać ewentualne przyczyny. 

No chyba, że jednak potrzebują dodatkowych przypadków, aby dowiedzieć się o co chodzi - wtedy to by było zrozumiałe."""
11,"@tomzaw83 @kzvsky 30latkowie to jak pracują w medycynie czy szkołach. Moja znajoma była tak szczepiona. Po szczepieniu, 3 tygodnie temu, miała pacjenta, który dzień później poinformował ja ze zachorował na covid. Z nią nic czyli szczepionka zadziałała."
2,"""1 na 166 zaszczepionych doznał poważnego NOP po Astrze.
Po Pfizer-1 na 333 osób. 
Dane z UK.
Taka '""bezpieczna'"" ta '""szczepionka '"""""
3,@DoRzeczy_pl No jak złapał Covida 4 dni po szczepionce to nie miał jeszcze odporności. Szczepionka to nie Apap nie działa 15 minut po podaniu.
11,"@KStrzalkowski @MarioAwario @MZ_GOV_PL Jestem 60+, pod koniec marca rejestrowałem się na szczepienie. We wszystkich możliwych terminach na kwiecień/maj dostępna była wyłącznie szczepionka AstraZeneca. Chętnie wybrałbym inną."
11,"@szczepimysie @restory244 @nmaliszewski Pani na infolinii wyznaczyła nowy termin, ale nie daje 100proc. gwarancji jaka szczepionka, bo kwalifikuje lekarz..czy to prawda?"
11,"""@joannabak31 To nowa wersja bajeczki?
Te opowieści o kuzynie już nie działają?
Może zamieścić wpisy dwóch lekarzy ŚMIESZKÓW którzy mówili że po szczepieniu będą się łączyć przez 5G ?
Lek przeciwnicy TYCH szczepień mówią wyraźnie: szczepionka nie przeszła wszystkich badań i to jest eksperyment"""
11,"Minister @michaldworczyk w #KPRM: Namawiamy wszystkich pacjentów powyżej 60 r.ż., żeby zwracać się do punktu szczepień z pytaniem o możliwość przesunięcia terminu na wcześniej. Jeśli z jakichś powodów będzie to niemożliwe prosimy o kontakt przez naszą infolinię 989."
11,"@GCessak @rzeczpospolita @EMA_News @AstraZeneca Tak to jest jak szczepionka powstaje w ekspresowym tempie 10 miesięcy (a nie lat, jak normalnie) i jest dopuszczana do użytku warunkowo, bez zakończenia 3 fazy badań. To eksperyment medyczny."
2,"""...(trombocytów). Tak dzieje się, gdy sama szczepionka dostanie się do krwi.

2. kiedy takie białka kolca, genetycznie modyfikowane z naszych komórek, dostają się do krwi, wiążą się bezpośrednio z receptorami ACE2 płytek krwi, co również prowadzi do krzepnięcia krwi i zakrzepicy"""
11,"Polska' szczepionka na COVID-19 jeszcze latem? Szef PFR zdradził szczegóły https://t.co/vYlW2Uy8Kk"""
2,"""Coraz trudniej twierdzić, że nie ma związku przyczynowo-skutkowego między szczepionką AstraZeneca i bardzo rzadkimi, nietypowymi przypadkami zakrzepów krwi - powiedział szef zespołu ds. oceny szczepionek EMA.
https://t.co/AlTmzFysHj"""
11,"Oj tam, oj tam. Czepiacie się . To tylko był promil. A konkretnie To ile? A skąd pan Mazur wie że będzie szczepił Johnsonem, skoro ta szczepionka ma być w Polsce  po 16 kwietnia? Prorok jakiś czy co? A może członek wiadomej partii ? To by dużo wyjaśniło ."
4,"""@CTomczyk gdzie są zwolennicy szczepionki dlaczego nie napiszą że świętej pamięci Krzysztof Krawczyk został zamordowany  przez trucizne szczepionce?
szczepionka działa likwiduje słabych najsłabszych ;("""
2,Holandia wstrzymuje szczepienia preparatem AstraZeneca dla osób poniżej 60 lat https://t.co/3SeoSvr4ld
3,@wendywoo6089 Two hundred and forty six Michigan residents have tested positive for Covid-19 after being fully vaccinated. Three of them have died. https://t.co/06GmxVJuby
11,@OrdoMedicus Małe sprostowanie. AZ to szczepionka wektorowa a nie terapia genowa mRNA.
11,"@Mateusz_lski @tuja_tajos Szczepienia te to eksperyment i może zakończyć się ludobójstwem. Osoby odpowiedzialne trzeba będzie rozliczyć. Oko za oko, śmierć za śmierć. Temat omawia 97 list otwarty do Prezydenta -  Koronawirus, szczepionki, lekarstwa i lekarze bandyci. Szukaj tu: https://t.co/HVomZByEgh"
11,"""/Rosja zażądała od Słowacji zwrotu dostarczonej do kraju szczepionki Sputnik V. Wiesz dlaczego?
Na Słowacji stwierdzono, że szczepionka, którą dostarczono, nie była identyczna z testowaną.
To nie żart. Na Słowację wysłaliśmy dosłownie nikt nie wie co/"""
3,"""@swinoujscie Szczepionka ma powodować lżejszy przebieg choroby . Więc... przeczytałam właśnie o niezwykle dobrze zwalczających Covid ziołach - czyli o Pachnotce zwyczajnej. Będę starała się dzisiaj kupić . Profilaktycznie póki co....
O amantadynie Niemcy już wiedza i mają produkować w sprayu"""
11,"""Rząd Wielkiej Brytanii kupił 17 milionów dawek - wystarczającą do zaszczepienia około 8,5 miliona ludzi
Szczepionka Moderna: wszystko, co do tej pory wiemy

https://t.co/Ta7h1kCZWO"""
11,"@xenosstinkriti Zgadza się, ponieważ szczepionka jest sekwencją,  czyli jakimś ciągiem dna wirusa. Nie wyizolowano całości, więc szczepionke oparto na kawałkach. Więc przeciwciała są wytwarzane nie na całosc, część komórek zostaje ukryta. Ukryte mutują i zajmują wolne miejsce po zwalczonych."
11,"@Henriet56088274 @polskanarodowa7 W ustawie jaką przegłosował PiS jest wyraźnie napisane, że Pfizer to eksperymenty medyczny. I nie jest to szczepionka tylko preparat."
13,"@NikFil12 @Piotr_Lojek @matizzabrza @Dariusz_Jonski @michaldworczyk Czopku, w całej Polsce jak zostaje szczepionka lub kończy się data to szczepia każdego chętnego, bez skierowania. Trzeba wyjść z mentalnego zaścianka jaki się ma w głowie. I grzecznie tobie napisałem dlaczego nie masz skierowania. A rzeszów to już inna bajka"
8,"@NikFil12 @Piotr_Lojek @matizzabrza @Dariusz_Jonski @michaldworczyk Czopku, w całej Polsce jak zostaje szczepionka lub kończy się data to szczepia każdego chętnego, bez skierowania. Trzeba wyjść z mentalnego zaścianka jaki się ma w głowie. I grzecznie tobie napisałem dlaczego nie masz skierowania. A rzeszów to już inna bajka"
11,"@szczepimysie Dobrze, obiecuję że to już ostatnie pytanie. TYLKO PROSZĘ O ODPOWIEDŹ NA TEMAT. Podsumujmy: 1. Około 150 osób wyraziło chęć szczepienia ' w terminie'"". 2. Pomimo, że w systemie widnieją te zgłoszenia, z niemożliwych do wyjaśnienia przyczyn w chmurze krajowej nie odnotowano"""
11,"""Skuteczność szczepionek na grypę to ok 45-60% skuteczności w zależności od wirusa w sezonie.
Po x latach poszukiwań

Szczepionka na covid to samo. Bo to to samo.Inna etykieta. #Krawczyk się o tym przekonał sam. Kilka mcy katowania się w domu i jedna zwykła infekcja."""
11,"@cezarykrysztopa Ale żadna szczepionka nie chroni przed zachorowaniem. Nie bronię Sputnika, tylko każda z obecnie istniejących nie wytwarza bańki próżniowej wokół człowieka. A swoją drogą w ogóle nie wierzę w to, że Sputnik jest szczepionką i poprawi odporność na cokolwiek."
4,"""@princezcelestia SZCZEPIONKA NIE POMOGŁA DLA KRAWCZYKA!!!!
POMIMO IŻ KRAWCZYK SIĘ ZASZCZEPIŁ TO I TAK ZACHOROWAŁ NA COVID!!!
KRAWCZYK TO KOLEJNA OSOBA, KTÓRA UMARŁA PO SZCZEPIONCE!!!"""
11,"@Marcin37805568 „Szczepionka” z mRNA. Właśnie piszą, że na podstawie Moderny (straszne uproszczenie) powstaje szczepionka przeciw HIV o skuteczności 97%"
1,"""@Bob_Gedron Pfizer: Nasze szczepionki zapewniają najwyższą ochronę do 6 miesięcy po przyjęciu drugiej dawki. Wynik ten podważają badania przeprowadzone w Izraelu, według których ten okres ochronny jest... dwa razy krótszy. 
https://t.co/4bhakJNLpS https://t.co/RwiBGq7eh2"""
4,"@Kot_Behemot_PL @rrobertn No proszę jak nie wziął szczepionki to umarłby na covida jak nic, ale jak wziął to umarł  na choroby współistniejące bo szczepionka zadziałała a skąd o tym wiemy bo rrobert i na interi napisali. Poczekamy zobaczymy ,wiesz że w dłuższej perspektywie i w ciebie to uderzy kocie. https://t.co/c7NmfiHJge"
11,@FalsePand3mic Osobiście również podejrzewam związek ostatnio miałam okazje na własne oczy zobaczyć co może wyrządzić po prostu szczepionka bo mój pies zwiotczał 10 minut po podaniu takiej na wściekliznę. Trują nas aż miło 💁🏼‍♀️
6,"📺'@szymon_holownia został postawiony przed wyborem - zaszczepisz się i zostaniesz zhejtowany, albo twoja szczepionka trafi do zlewu. Min. @michaldworczyk zapowiedział, że nie ma możliwości odwołania szczepień zaplanowanych w najbliższych dniach.'"" @hennigkloska #DebataDnia https://t.co/A6RCEJWz39"""
3,"@dvx_ardorensis Narzędziem niszczenia życia poprzez doprowadzenie do bezpłodności ludzi. Szczepionka nie chroni przed zarażeniem, to po co wstrzykiwać? Bo prawdopodobnie doprawadza z czasem do bezpłodności."
11,"@SwimmingCircus samą aspirację robi sie po to by mieć pewność, że wkłucie nie sięga np żyły, bo szczepionka jest domięśniowa. Bez aspiracji istnieje więc ryzyko, że szczepionka poleci do krwioobiegu czyli nie będzie miała sensu"
3,"@RadekZKraka @wiechosta Szczepionka to jeszcze nie lek. Rząd nakazuje wpis do zgonu z powodu Covid. Dziś przecież tylko na to ludzie umierają. Nie ma raka, zawałów itd itp. To najcichsza 3 wojna światowa farmakologi i rzadów z własnym społeczeństwem."
3,"Już wiadomo, że covid wpływa na rozrodczość, ale nie wiadomo jeszcze w jakim stopniu. Ale po kilkukrotnym zarażeniu się - szczepionka nie chroni przez zarażeniem   i daje, podobnie jak przechorowanie, kilkumiesięczną odporność, nie będą w stanie się rozmnażać. Zło się wypleni'"""""
4,"""Krzysiu Krawczyk,dziękuję za wszystko,za piosenki takie prawdziwe a słowa z sensem.. Gdyby nie ta '""szczepionka'""byłbyś jeszcze z nami....Może ta niepotrzebna śmierć,obudzi wielu......Krzysiu-dołączyłeś do Bugusia Smolenia-może znowu zaśpiewacie? RIP!
https://t.co/LHZd4AKcnG"""
4,"""Krzysiu Krawczyk,dziękuję za wszystko,za piosenki takie prawdziwe a słowa z sensem.. Gdyby nie ta '""szczepionka'""byłbyś jeszcze z nami....Może ta niepotrzebna śmierć,obudzi wielu......Krzysiu-dołączyłeś do Bugusia Smolenia-może znowu zaśpiewacie? RIP!
https://t.co/LHZd4AKcnG"""
9,"Polecił wielokrotne używanie strzykawek jednorazowych'"". Politycy opozycji żądają wyjaśnień https://t.co/TR78N3No0t... Szczepionka powinna być przygotowana na oczach pacjenta!!!!!"""
11,@BEHEPA17 @Krzychu74706173 Oni to wiedzą. Ale celem jest depopulacja przez szczepienia.
