,title,verdict,short_justification
10,Czy 30-40 proc. pracowników Air Canada zostało zwolnionych za brak szczepień?,Fake News,"Autor zgłoszonego do weryfikacji tweeta twierdzi, że 30-40 proc. pracowników Air Canada zostało zwolnionych z powodu odmowy szczepień. To nieprawda. Rzeczywiście, kanadyjski rząd wymaga do pracownik..."
11,"Czy w Australii szkoli się żołnierzy, żeby chodzili od drzwi do drzwi i szczepili na Covid-19 pod groźbą użycia broni?",Fake News,"Autor zgłoszonego do weryfikacji nagrania twierdzi, że australijscy żołnierze są szkoleni, aby chodzić od drzwi do drzwi i przymusowo szczepić każdą osobę pod groźbą użycia broni. To nieprawda. Armia ..."
12,Czy w galeriach handlowych pojawi się straż covidowa?,Fake News,"Autor wiadomości zgłoszonej do weryfikacji sugeruje, że ma powstać specjalna straż covidowa, która zajmie się przeprowadzaniem kontroli przestrzegania obostrzeń w galeriach handlowych. Takie miałyby b..."
13,Czy respiratory będą tylko dla zaszczepionych?,Fake News,"Autor zgłoszonego do weryfikacji tweeta twierdzi, że respiratory będą tylko zaszczepionych. To nieprawda. Taką informację Ministerstwo Zdrowia dementowało już kilkakrotnie. Także teraz resort zapewn..."
14,Czy osoby zaszczepione emitują pole elektromagnetyczne?,Fake News,"Ze zgłoszonego tekstu dowiadujemy się, że Europejskie Forum Kontroli Szczepień przeprowadziło badanie, które rzekomo potwierdziło, że zaszczepieni przyciągają magnes i emitują promieniowanie elektroma..."
15,"Czy w Wielkiej Brytanii weszło prawo, na mocy którego za napisanie w internecie, że szczepionki nie w pełni powstrzymują Covid-19, można pójść na 2 lata do więzienia?",Fake News,"Tekst zgłoszony do weryfikacji zawiera stwierdzenie, że wedle nowych przepisów, w Wielkiej Brytanii można kogoś skazać na dwa lata więzienia za opublikowanie w sieci krytycznych wypowiedzi na temat sz..."
16,"Czy Światowa Organizacja Zdrowia potwierdziła, że test PCR jest wadliwy, a szacunki liczby zakażeń nic nie znaczą?",Fake News,"Ze zgłoszonego artykułu dowiadujemy się, że według Światowej Organizacji Zdrowia szacunki na temat liczby przypadków COVID-19 nie mają znaczenia z powodu rzekomo wadliwych testów PCR. To twierdzenie n..."
17,Czy pełne zaszczepienie przeciwko COVID-19 powoduje AIDS?,Fake News,"Według autora zgłoszonego do weryfikacji artykułu rządowe raporty z Wielkiej Brytanii wykazały, że ludzie zaszczepieni przeciwko COVID-19 zapadają na AIDS - rzekomo dlatego, że szczepionki stopniowo o..."
18,"Czy do szczepionki dodano lek mający ukryć powikłania, które może wywoływać?",Fake News,"Ze zgłoszonego tweeta dowiadujemy się, Pfizer do szczepionki przeciwko COVID-19 dla dzieci dodał lek mający ukryć uszkodzenie serca. To nieprawda. Autor powołuje się na dokument informacyjny, który P..."
19,Czy australijska influencerka trafiła do szpitala z powodu szczepionki przeciw COVID-19?,Fake News,"Nie ma oficjalnego potwierdzenia, że australijska influencerka Cienna Knowles trafiła do szpitala z powodu szczepionki przeciw COVID-19. Wykryte u niej zakrzepy nie występują jako efekt uboczny szczep..."
20,Czy w Sztokholmie odbyły się protesty przeciwko paszportom szczepionkowym?,Prawda,"W sobotę, 30 pażdziernika odbyła się w Sztokholmie manifestacja przeciwników paszportów szczepionkowych oraz szczepieniom dzieci. Zgłoszenie dotyczy tweeta użytkownika Pelham do którego załączono kr..."
21,Czy Niemcy ogłaszają koniec pandemii?,Fake News,Nikt w Niemczech nie ogłosił „zakończenia pandemii”. Zgłoszona do weryfikacji publikacja jest oparta na manipulacji faktami. Zgłoszony do weryfikacji materiał zatytułowany „Niemcy ogłaszają koniec pa...
22,"Czy autopsje zaszczepionych osób zmarłych na Covid-19 wykazują, że tkanka ich płuc jest pełna zakrzepów i ma strukturę wątroby.",Fake News,"Autor zgłoszonego do weryfikacji nagrania twierdzi, że sekcje zwłok zaszczepionych osób zmarłych na Covid-19 wykazują, że tkanka ich płuc jest pełna zakrzepów i ma strukturę wątroby. Taką tezę wygłosi..."
23,Czy w Polsce ceny hurtowe gazu dyktuje PGNiG?,Fake News,"Twierdzenie, że ceny hurtowe gazu w Polsce dyktuje PGNiG, jest nieuprawnione. Głównym czynnikiem wpływającym na poziom cen hurtowych gazu są jego notowania na Towarowej Giełdzie Energii, te zaś zależą..."
24,"Czy papież powiedział, że aby dostać się do nieba, trzeba będzie zostać zaszczepionym?",Fake News,"Papież Franciszek nie powiedział, że przyjęcie szczepionki na COVID-19 jest warunkiem „wpuszczenia do nieba”, jak sugeruje to post na Twitterze. Słowa przypisywane papieżowi - „Bóg poinformował mnie, ..."
25,"Czy pobieranie wymazu z nosogardzieli jest niepotrzebne, skoro SARS-CoV-2 jest nawet w mikrokropelkach śliny?",Fake News,"Twierdzenie, że pobieranie wymazu z nosa jest niepotrzebne, ponieważ równie dobrze można zbadać obecność koronawirusa testując ślinę, obecnie nie jest uzasadnione, co nie wyklucza tego, że może to się..."
26,Czy Pierre Kory wyleczył iwermektyną 200 amerykańskich kongresmenów chorych na Covid-19?,Fake News,"Zgłoszona do weryfikacji wiadomość dotyczy amerykańskiego pulmunologa Pierra Kory’ego, który w swoich mediach społecznościowych propaguje leczenie iwermektyną jako alternatywę dla szczepień. Autor zgł..."
27,"Czy studenci Łódzkiego Uniwersytetu Medycznego podlegający MON, którzy nie chcieli się zaszczepić, są więzieni w koszarach?",Fake News,"Autor zgłoszonego do weryfikacji nagrania twierdzi, że studenci Łódzkiego Uniwersytetu Medycznego podlegający Ministerstwu Obrony Narodowej, którzy odmówili szczepień przeciw COVID-19, zostali uwięzi..."
28,Czy u kobiet stosujących antykoncepcję hormonalną kurczy się mózg?,Fake News,"To nieprawda, że u kobiet stosujących antykoncepcję hormonalną kurczy się mózg. Autor zgłoszonego do weryfikacji tekstu wyciągnął zbyt daleko idące i nieuprawnione wnioski z jednostkowego badania, któ..."
29,Czy 1 i 2 listopada na cmentarze będą mieli wstęp tylko zaszczepieni?,Fake News,Twierdzenie o rzekomej dostępności cmentarzy w dniu 1 i 2 listopada tylko dla osób zaszczepionych przeciwko Covid-19 jest nieuprawnione. Zgłoszony do weryfikacji materiał to wideo opublikowane w dn...
30,"Czy, żeby wyprodukować szczepionkę przeciwko COVID-19 pobiera się bez znieczulenia organy od żywych dzieci?",Fake News,"Ze zgłoszonego do weryfikacji tekstu dowiadujemy się, że szczepionki przeciwko COVID-19 zawierają „tajemnicze substancje chemiczne pochodzące z zamordowanych dzieci” oraz, że „dla jednej z linii komór..."
31,Czy polski rząd już w 2018 r. kupował sprzęt diagnostyczny do wykrywania Covid-19?,Fake News,"Nie jest prawdą, by polski rząd kupował w 2018 roku „sprzęt diagnostyczny do wykrywania Covid-19”. Opublikowana w zgłoszonym materiale tabela dotyczy po prostu zakupów sprzętu diagnostycznego do wszel..."
32,"Czy promieniowanie niejonizujące z anten 3G, 4G i 5G wywołuje choroby neurodegradacyjne w tym Alzheimera?",Fake News,"Nie ma związku między promieniowaniem niejonizującym emitowanym przez „technologię G” a chorobą Alzheimera, nowotworami i chorobami neurodegeneracyjnymi, czego ma dowodzić prowadzona w języku włoskim ..."
33,Czy w Polsce osoby zaszczepione nie mogą oddawać krwi?,Fake News,"To fake news. Osoby zaszczepione przeciwko COVID-19 mogą oddawać krew, muszą tylko odczekać: 48 godzin od podania szczepionki typu mRNA (Comirnaty firmy Pfizera/BioNTech i Moderna) i 14 dni od podania..."
34,"Czy punkt szczepień przy cmentarzu w Szczecinie ma być po to, żeby z pomocą zmarłych podkręcić statystyki wyszczepienia?",Fake News,"To nieprawda. Punkt szczepień przeciwko Covid-19 przy Cmentarzu Centralnym w Szczecinie powstał, by ułatwić dostęp do szczepień ludziom, odwiedzającym tę nekropolię w okresie Dnia Wszystkich Świętych,..."
35,"Czy przedstawiciel medyczny firmy Pfizer jest synem Michała Sutkowskiego, członka rady ds. ochrony zdrowia przy prezydencie RP?",Fake News,"Zgłoszony do weryfikacji tweet jest fake newsem opartym na przypadkowej zbieżności nazwisk. Nie tylko pracownik Pfizera nie jest synem doktora Michała Sutkowskiego, ale w ogóle nie jest z nim spokrewn..."
36,Czy zaszczepieni są widoczni dla urządzeń łączących się przez Bluetooth?,Fake News,"Osoby zaszczepione nie mogą być wykrywane przez sprzęty obsługujące łączność bezprzewodową jako „urządzenia”. Skład szczepionek przeciwko COVID-19 jest znany i nie obejmuje dodatków, które mogłyby fun..."
37,Czy to zdjęcia z Australii?,Fake News,"Nie, zdjęcia przedstawiające ludzi w zagródkach z białych sztachet nie pochodzą z Australii, lecz ze Zjednoczonych Emiratów Arabskich, a konkretnie z boiska do krykieta Sheikh Zayed Cricket Stadium w ..."
38,"Czy choroba jest efektem zatrucia organizmu, a nie skutkiem działania patogenów?",Fake News,"Czynników chorobotwórczych może być wiele. W załączonym do zgłoszenia filmiku zamieszczonym na jednym z profili FB mówca zaprzecza, by patogeny wywoływały choroby. Choroby są jego zdaniem wywoływane p..."
39,"Czy rząd zawłaszczył 6 mld zł, które Gazprom zwrócił PGNiG za zawyżone ceny gazu dostarczanego w latach 2014-2020?",Fake News,"Ze zgłoszonego do weryfikacji materiału video wynika, że rząd rzekomo zawłaszczył 6 mld zł, które Gazprom zwrócił PGNiG za zawyżone ceny gazu. To nieprawda. Występująca we wspomnianym materiale vide..."
40,Czy od listopada niezaszczepieni na Covid-19 nie będą mogli wyjechać z Kanady?,Prawda,"Od 30 listopada tylko osoby w pełni zaszczepione będą mogły podróżować z kanadyjskich lotnisk. Wymóg ma dotyczyć nie tylko lotów krajowych, ale też międzynarodowych. Zgłoszenie dotyczy Tweeta użytkow..."
41,"Czy na Florydzie w ciągu dwóch tygodni odnotowano spadek zachorowań o 45 proc., bo gubernator tego stanu odrzucił restrykcje i obowiązek szczepienia?",Fake News,"To prawda, że w ciągu ostatnich dwóch tygodni liczba nowych przypadków Covid-19 na Florydzie spadła. Trudno jednak łączyć ten fakt z tym, że gubernator tego stanu, Ron DeSantis jest przeciwnikiem lock..."
42,"Czy szczepionka Moderna jest niebezpieczna, bo zawiera bardzo toksyczny i łatwopalny składnik SM-102?",Fake News,"Zgłoszony artykuł głosi, że szczepionka przeciwko COVID-19 firmy Moderna zawiera wysoce łatwopalny i rakotwórczy składnik – SM-102. To dezinformacja. Prawdą jest, że szczepionka zawiera SM-102 - lipi..."
43,"Czy eksperyment Stefana Lanka stanowi dowód, że żadne wirusy nie istnieją i nigdy ich nie było?",Fake News,"Zgłoszony do weryfikacji materiał głosi, że wirusy nie istnieją i są na to dowody naukowe! To całkowita nieprawda! W rzeczywistości jest zupełnie odwrotnie: naukowcy od dawna posiadają niezbite dowody..."
44,"Czy wiosną 2020 roku przeprowadzano testy kliniczne szczepionki przeciwko COVID-19 w Senegalu, w wyniku których zmarło siedmioro dzieci?",Fake News,"W zgłoszonym tekście z kwietnia 2020 znajdujemy informację, że szczepionka przeciwko COVID-19 zabiła siedmioro dzieci chwilę po jej podaniu. To nieprawda. Szczepionka wtedy nie istniała. Ta fałszywa ..."
45,Czy zaszczepione osoby są monitorowane w czasie rzeczywistym?,Fake News,"Materiał serwisu ForumDlaZycia powiela bez wskazywania źródła rosyjską fałszywkę informacyjną, a właściwie żart primaaprilisowy. Przykład drogi, jaką pokonał ów dowcip, i kolejnych zniekształceń, jaki..."
46,"Czy CDC w lipcu potwierdziło, że nie ma izolatu koronawirusa SARS-CoV-2, a to znaczy, że ten nie istnieje?",Fake News,"To nieprawda, że nie ma izolatu koronawirusa SARS-CoV-2. Takich izolatów obecnie są setki. Autor zgłoszonego do weryfikacji tekstu albo nie zrozumiał dokumentu, na który się powołuje, albo świadomie g..."
47,Czy objawy wystawienia na działanie PEM i objawy Covid-19 są praktycznie identyczne?,Fake News,Kontrowersyjne zjawisko nadwrażliwości elektromagnetycznej charakteryzuje się występowaniem niespecyficznych objawów zdrowotnych m.in. bólami oczu oraz szumami. Na długiej liście symptomów schorzenia...
48,Czy w pełni zaszczepieni tracą 5 proc. odporności tygodniowo?,Fake News,"Nie ma żadnych dowodów naukowych potwierdzających postawioną w zgłoszonym do weryfikacji materiale tezę, że system odpornościowy osób zaszczepionych przeciw COVID-19 ulega z tego powodu osłabieniu. Wn..."
49,"Czy często zdarza się, że rana po szczepieniu na Covid-19 nie przestaje krwawić, bo organizm tworzy przetokę i próbuje pozbyć się wstrzykniętego preparatu?",Fake News,"To nieprawda. Twierdzenia zaprezentowane w zgłoszonym do weryfikacji materiale to kolejna teoria spiskowa pozbawiona potwierdzenia w faktach. Twierdzenie, że nieustające krwawienie jest częstym zda..."
50,"Czy 7 na 10 osób, które umierają na Covid-19 w Wielkiej Brytanii, to w pełni zaszczepieni, co podważa skuteczność szczepień?",Fake News,"Dane podane w zgłoszonym wpisie wprowadzają w błąd. Z informacji brytyjskiego urzędu statystycznego ONS wynika bowiem, że na Covid-19 umierają w zdecydowanej większości osoby niezaszczepione. Na ponad..."
51,"Czy tysiące naukowców wykazało, że promieniowanie niejonizujące jednak ma zgubny wpływ na zdrowie?",Fake News,"W mediach społecznościowych ukazał się wpis o rzekomym zgubnym wpływie na zdrowie promieniowania niejonizującego, co miało zostać udowodnione przez tysiące naukowców. W rzeczywistości jest całkowicie ..."
52,Czy przyczyną wzrostu cen gazu w Europie jest rusofobia?,Fake News,"Tekst opublikowany na portalu rubaltic.ru jest pełen manipulacji. Olbrzymie podwyżki cen gazu w Europie są przede wszystkim efektem realizowanej przez Rosję celowej polityki windowania cen, która ma d..."
53,Czy Colin Powell zmarł na powikłania po szczepieniu?,Fake News,"Autor zgłoszonego do weryfikacji wpisu na Twitterze sugeruje, że przyczyną śmierci Colina Powella było przyjęcie szczepionki przeciwko Covid-19. To nieprawda. Powell zmarł na Covid-19. „Według rodzin..."
54,"Czy w Izraelu tak boją się poszczepiennych ataków serca, że we wszystkich zakątkach miast umieszcza się defibrylatory?",Fake News,"Z hiszpańskojęzycznego wpisu na Twitterze z 17 października br., powołującego się na informacje z filmu Kariny Michelin i Mauricia Pollasceka, wynika, że w Izraelu, z powodu obaw przed falą ataków ser..."
55,"Czy po przyjęciu szczepionki mRNA przez matkę, rodzą się zdeformowane dzieci?",Fake News,"Fatih Erbakan, turecki polityk, lider eurosceptycznej partii Yeniden Refah Partisi, stwierdził na konferencji prasowej, że efektem szczepionki Pfizer-BioNTech oraz innych szczepionek opierających się ..."
56,"Czy na Litwie nie da się funkcjonować bez szczepienia na Covid-19, bo wszędzie obowiązują paszporty szczepionkowe?",Fake News,"Szczepienia przeciwko Covid-19 na Litwie nie są przymusowe, a obowiązkowy od 13 września br. tzw. green pass, nazywany też paszportem możliwości i równoważny z unijnym świadectwem szczepienia, nie zmu..."
57,"Czy z danych agencji Public Health England wynika, że skuteczność szczepionki na Covid-19 u osób po czterdziestce wynosi minus 109 proc.?",Fake News,"Raport agencji Public Health England podkreśla, że dwie dawki szczepionki pozostają wysoce skuteczne. Według badaczy wyższy odsetek chorych wśród zaszczepionych niż niezaszczepionych to wynik wysokieg..."
58,"Czy szczepionki AZ, które Polska odsprzedaje Ukrainie, są przeterminowane?",Fake News,"To nieprawda. Szczepionki, które Polska przekazała Ukrainie nie są przeterminowane – zapewnił w odpowiedzi na pisemne zapytanie serwisu Fake Hunter rzecznik Ministerstwa Spraw Zagranicznych Łukasz Jas..."
59,"Czy noszenie maski nie zmniejsza, a wręcz zwiększa ryzyko infekcji?",Fake News,"Nieprawdą jest, że przegląd badań z okresu ostatnich 20 lat pozwala na stwierdzenie, iż praktycznie nie ma dowodów naukowych na skuteczność noszenia maseczek w walce z chorobami zakaźnymi. Nieprawdą j..."
60,Czy leczenie kanałowe zębów jest przyczyną nowotworów?,Fake News,Ze zgłoszonego tekstu dowiadujemy się że leczenie kanałowe zębów powoduje nowotwory. To nieprawda. Endodoncja to dziedzina stomatologii zajmująca się badaniem i leczeniem chorób miazgi korzeniowej zę...
61,"Czy pracownicy Boeinga, którzy się nie zaszczepią, będą musieli sami płacić za cykliczne testy na Covid-19?",Fake News,"Ze zgłoszonego do weryfikacji tweeta NeverSleevera wynika, że pracownicy amerykańskiego Boeinga, którzy zostaną zwolnieni z obowiązku szczepienia przeciwko Covid-19, będą musieli sami płacić za regula..."
62,"Czy w niektórych chińskich miastach, żeby wejść do metra, trzeba skorzystać z systemu rozpoznawania twarzy, a opłata za przejazd jest pobierana bezpośrednio z konta?",Fake News,W niektórych chińskich miastach rzeczywiście już od 2019 r. funkcjonują w metrze systemy biletowe oparte na rozpoznawaniu twarzy. Metoda ta jest jednak tylko jedną z form umożliwiających podróżowanie ...
63,"Czy przykład Wielkiej Brytanii dowodzi tego, że szczepienie równa się zakażeniu Covid- 19?",Fake News,"Szczepienia przeciwko Covid-19 nie napędzają nowych zakażeń. Sama szczepionka chroni przed ciężką chorobą, ale pandemia zależy też od zachowań ludzi i stosowania się do obostrzeń epidemicznych. Zg..."
64,"Czy turecki preparat Turkovac mogą teraz przyjmować jako booster osoby, którym wcześniej zaaplikowano jakąś szczepionkę inaktywowaną?",Fake News,Opracowana w Turcji szczepionka Turkovac znana wcześniej pod nazwą ERUCOV-VAC od czerwca 2021 roku przechodzi III fazę testów klinicznych i jest podawana jako booster (trzecia dawka wzmacniająca) wolo...
65,Czy w Japonii wdrożono leczenie COVID-19 iwermektyną?,Fake News,"Z informacji podanych w zgłoszonym tweecie możemy wywnioskować, że w Japonii leczy się COVID-19 iwermektyną. To nieprawda. Do zgłoszonego tweeta podlinkowany jest artykuł opisujący spadek zachorowań ..."
66,"Czy polski Parlament pracuje nad karaniem rodziców, którzy nie zaszczepią dzieci na Covid-19?",Fake News,"To nieprawda. Projekt ustawy, o której mowa w zgłoszeniu, nie przewiduje penalizacji w związku z brakiem szczepień dzieci na Covid-19. Projekt ten mówi jedynie o szczepieniach przewidzianych Programem..."
67,Czy mężczyznę na filmie zabito za brak maseczki?,Fake News,"Na zgłoszonym wideo widzimy młodego mężczyznę wyrzuconego nieprzytomnego z pubu. Napis na filmie głosi, że został on zabity za brak maseczki. To nieprawda. Incydent ten nie miał nic wspólnego z COVID-..."
68,"Czy przykład Holandii dowodzi, że szczepienia nie działają?",Fake News,"Artykuł zgłoszony do weryfikacji, w którym już w tytule pojawia się twierdzenie, że wzrost liczby zakażonych koronawirusem w Holandii dowodzi braku skuteczności szczepień przeciwko Covid-19, jest mani..."
69,Czy na Covid-19 nie umarł żaden polityk ani policjant?,Fake News,"Od początku pandemii na Covid-19 chorowało wielu polityków, a kilku posłów i senatorów zmarło z tego powodu. Na koronawirusa zmarło też 21 policjantów. Tym samym sugestia, że na Covid-19 umierają tylk..."
70,"Czy jeden z pilotów linii Delta zmarł zasiadając za sterami samolotu, bo się zaszczepił?",Fake News,"Zgłoszenie dotyczy informacji, którą podano 11 października br. w programie telewizyjnym The Stew Peters Show (od 1’56”) z udziałem dr Jane Rubin. Według Rubin, powołującej się na trzy anonimowe źródł..."
71,"Czy w Australii, przez wprowadzenie obowiązku posiadania certyfikatu szczepionkowego, pracę rzucają setki pracowników służby zdrowia i policjantów?",Fake News,"Według zgłoszonego do weryfikacji tekstu z portalu theexpose.uk „setki” lekarzy, pielęgniarek i ratowników z Australii, a także setki policjantów, zwalniają się z pracy z powodu wprowadzenia obowiązku..."
72,Czy picie kawy zwiększa ilość bakterii jelitowych przeciwdziałających stanom zapalnym?,Prawda,"Tak, to prawda, opisywane w artykule badania, ujawniły, że osoby spożywające kofeinę w ilości równej lub wyższej 82,9 mg dziennie, charakteryzują się zdrowszym składem flory jelitowej. W badanach ze..."
73,Czy cena gazu wzrosła o 300 proc.?,Fake News,"Cena gazu wzrosła w tym roku trzy razy, ale nie oznacza to, że wzrosła o 300 procent. „Najpierw zrobili dopłaty do wymiany pieca węglowego na gazowy! Warunkiem dopłat była likwidacja pieca, komisje ..."
74,"Czy hiszpańskie Ministerstwo Zdrowia stwierdziło, że wirus SARS-CoV-2 nigdy nie został wyizolowany?",Fake News,"Ze zgłoszonego do weryfikacji artykułu i wielu innych publikacji w internecie możemy się dowiedzieć, że według hiszpańskiego Ministerstwa Zdrowia wirus SARS-CoV-2 nigdy nie został wyizolowany. To niep..."
75,Czy od szczepienia na Covid-19 krzepnie krew?,Nieweryfikowalny,"Niektóre szczepionki przeciwko COVID-19, tzw. wektorowe, są związane z niezwykle rzadkim zespołem znanym jako małopłytkowość zakrzepowa wywołana szczepionką (VITT). Został odkryty w marcu 2021 r. w zw..."
76,Czy do produkcji coraz większej liczby dawek szczepionek na Covid-19 potrzeba coraz więcej tkanek pobieranych od żywych i zdrowych abortowanych dzieci?,Fake News,"Szczepionki przeciw Covid-19 nie zawierają materiału pochodzącego z komórek pobieranych od abortowanych dzieci. Nie jest więc prawdą, że wraz ze zwiększeniem produkcji potrzeba coraz więcej takich tka..."
77,Czy wirus SARS-CoV-2 nie powoduje COVID-19?,Fake News,"Ze zgłoszonego tekstu dowiadujemy się między innymi, że „nie można wykazać, że SARS-CoV-2 powoduje chorobę zwaną COVID-19”. Nie jest to prawda. ECDC wyjaśnia: „Koronawirus wykryty w Chinach w 2019 r...."
78,Czy australijski rząd wprowadza ograniczenia związane z pandemią korzystając z sił ONZ?,Fake News,"Nie ma żadnych oficjalnie potwierdzonych informacji o tym, jakoby Australia miała korzystać z sił ONZ do wprowadzania ograniczeń związanych z pandemią. Warto zwrócić uwagę na pojazdy, jakie znajdują s..."
79,"Czy z wypowiedzi szefa BioNTech wynika, że w połowie 2022 r. zaszczepieni zaczną padać jak muchy?",Fake News,"Z wypowiedzi Ugura Sahina, dyrektora naczelnego niemieckiej firmy farmaceutycznej BioNTech absolutnie nie można wyciągnąć takiego wniosku. Jest to kolejna próba dostosowania wyrwanej z kontekstu wypow..."
80,Czy od 20 października w Unii Europejskiej mają zostać zniesione szczepienia na Covid-19 i certyfikaty szczepionkowe?,Fake News,"Nie ma ani planów dotyczących zaprzestania szczepień przeciw COVID-19 ani zniesienia certyfikatów szczepionkowych. W dokumencie, na który powołuje się autor zgłoszonego do weryfikacji materiału, nic t..."
81,Czy czterej ukraińscy żołnierze zmarli po przyjęciu testowanej klinicznie amerykańskiej szczepionki?,Fake News,"To nieprawda. Pochodzące od prorosyjskich separatystów na wschodzie Ukrainy informacje o ukraińskich żołnierzach, którzy mieli umrzeć po przyjęciu amerykańskiej szczepionki przeciw Covid-19 w 2020 r.,..."
82,"Czy prezydent Biden wstrzymał świadczenia zdrowotne dla weteranów, którzy się nie zaszczepili na Covid-19?",Fake News,"Na portalu delawareohionews.com pojawiła się informacja, że prezydent Joe Biden wstrzymał świadczenia zdrowotne dla weteranów armii amerykańskiej, którzy nie zdecydowali się na szczepienie przeciwko C..."
83,Czy 95 proc. ciężkich przypadków COVID-19 w izraelskich szpitalach to osoby zaszczepione?,Fake News,"Nie jest prawdą, że 95 proc. ciężkich przypadków COVID-19 w izraelskich szpitalach stanowią osoby niezaszczepione. Oficjalne dane pochodzące z tamtejszego resortu zdrowia dowodzą czegoś zupełnie odwro..."
84,"Czy w Australii, z pomocą armii, zmusi się wszystkich do przyjęcia szczepionki na Covid-19 jeszcze przed Bożym Narodzeniem?",Fake News,"Z wywiadu generała porucznika Johna Frewena w ABC News Breakfast z 6 września 2021 w żadnym wypadku nie wynika, że rząd australijski ma zamiar, z pomocą armii, zmuszać obywateli do szczepień, by 80 pr..."
85,"Czy w kanadyjskim stanie Alberta wprowadzono prawo, na mocy którego chorzy na cokolwiek są uznawani za chorych na COVID-19?",Fake News,"Ze zgłoszonego tekstu dowiadujemy się, że w kanadyjskim stanie Alberta wprowadzono prawo, na mocy którego chorzy na cokolwiek są uznawani za chorych na COVID-19. Nie jest to prawda. Jako dowód na twi..."
86,Czy w Rumunii niezaszczepieni nie będą mogli wychodzić w weekend z domu?,Fake News,"Według zgłoszonego do weryfikacji wpisu na Twitterze, Rumuni, którzy się nie zaszczepili przeciwko Covid-19, nie będą mogli w weekendy opuszczać swoich domów. To nieprawda. Rząd Rumunii wprowadził os..."
87,"Czy w Polsce nikt nie wie, jak przebiega bartoneloza, a jej skuteczne leczenie jest niedostępne?",Fake News,"Zgłoszony do weryfikacji materiał sugeruje, że procesy chorobowe wywoływane przez bakterie z rodzaju Bartonella są tak niezwykle skomplikowane, że nikt w Polsce ich nie rozumie, a ich skuteczne wylecz..."
88,"Czy naukowcy w Kalifornii opracowują szczepionkę mRNA, którą podawałoby się opornym i niezdecydowanym w żywności?",Fake News,"Prawdą jest, że naukowcy Uniwersytetu Kalifornijskiego UC Riverside badają, czy istniałaby możliwość przekształcenia roślin, np. sałaty w nośniki mRNA, jednak szkodliwą teorią spiskową jest twierdzeni..."
